date,state,avgLoans,totalLoans,avgTerm,avgIntRate,avgGrade,avgEmpLength,avgAnnualInc,avgVerifStatus,avgHomeOwner,avgOpenAcc,avgRevolBal,avgRevolUtil,avgTotalAcc,countOfLoans
2014-03-01,MI,13988.111545988259,7147925,43.32681017612524,14.496771037181995,2.9295499021526417,6.513978494623656,65847.08645792563,0.7279843444227005,0.11350293542074363,11.41682974559687,13725.757338551859,57.26712328767123,25.724070450097848,511
2014-04-01,MI,13920.337477797513,7837150,43.16163410301954,14.63701598579041,2.952042628774423,6.874031007751938,68722.50735346359,0.7335701598579041,0.108348134991119,11.692717584369449,14639.42273534636,53.66056838365897,26.428063943161636,563
2014-05-01,MI,13566.013824884792,5887650,42.74654377880184,13.904861751152074,2.912442396313364,6.463054187192118,68909.46267281106,0.6451612903225806,0.1543778801843318,11.723502304147466,14286.94470046083,51.633870967741935,26.794930875576036,434
2014-06-01,MI,14078.673469387755,6898550,44.03265306122449,14.075265306122448,3.057142857142857,6.3384279475982535,69087.72526530613,0.6551020408163265,0.13877551020408163,11.575510204081633,13985.722448979592,54.382448979591835,26.29795918367347,490
2014-07-01,MI,14326.763907734057,10558825,43.55495251017639,14.166540027137042,3.0881953867028495,6.354838709677419,71494.40846675713,0.6390773405698779,0.10719131614654002,12.025780189959294,14970.358208955224,55.346811397557666,26.492537313432837,737
2014-08-01,MI,14226.901565995526,6359425,42.76510067114094,13.942013422818793,3.0380313199105147,6.554479418886198,70264.77919463087,0.6644295302013423,0.1610738255033557,12.297539149888143,17086.228187919463,53.40156599552573,27.24608501118568,447
2014-09-01,MI,15464.6484375,3958950,43.78125,13.6244921875,2.921875,6.472340425531915,73185.38609375,0.66015625,0.140625,12.38671875,16432.2109375,53.746875,28.01171875,256
2014-10-01,MI,13783.551307847083,13700850,43.70221327967807,13.261056338028169,2.788732394366197,6.602620087336245,66611.67811871227,0.6609657947686117,0.11468812877263582,11.88430583501006,15028.594567404427,55.323239436619716,26.869215291750503,994
2014-11-01,MI,14724.283559577678,9762200,44.289592760180994,13.15763197586727,2.8461538461538463,6.2894736842105265,68961.42117647058,0.7254901960784313,0.11010558069381599,11.911010558069382,16297.31221719457,56.97767722473605,26.41628959276018,663
2014-12-01,MI,15126.550387596899,3902650,44.18604651162791,12.835038759689922,2.7713178294573644,6.609958506224066,71636.3992248062,0.7248062015503876,0.1434108527131783,12.581395348837209,18070.236434108527,54.02762645914397,26.565891472868216,258
2015-01-01,MI,14708.681262729124,14443925,43.79633401221996,13.157006109979633,2.870672097759674,6.5415730337078655,69317.42206720977,0.7494908350305499,0.1384928716904277,12.511201629327902,16317.967413441955,55.636150712830954,27.011201629327903,982
2015-02-01,MI,14586.762360446572,9145900,44,12.9459649122807,2.81658692185008,6.334500875656743,73506.72446570973,0.7192982456140351,0.12599681020733652,12.446570972886763,15861.64114832536,54.5792663476874,26.803827751196174,627
2015-03-01,MI,14670.404411764706,9975875,43.8,12.61439705882353,2.764705882352941,6.649122807017544,69531.02497058823,0.7279411764705882,0.15588235294117647,12.127941176470589,15138.745588235293,55.15911764705882,26.341176470588234,680
2015-04-01,MI,14472.014170040486,14298350,43.530364372469634,12.619665991902833,2.783400809716599,6.54525627044711,71523.55807692307,0.7054655870445344,0.1417004048582996,12.239878542510121,15257.66902834008,53.34336372847011,26.62145748987854,988
2015-05-01,MI,14363.502506265664,11462075,43.669172932330824,12.728934837092732,2.81203007518797,6.626404494382022,68426.63263157895,0.7418546365914787,0.11027568922305764,12.087719298245615,15720.274436090225,54.09812030075188,25.95614035087719,798
2015-06-01,MI,13968.948655256723,11426600,43.21760391198044,12.802640586797066,2.854523227383863,6.143236074270557,68919.05178484108,0.7004889975550123,0.13814180929095354,12.330073349633253,15117.008557457213,53.406985294117646,26.596577017114914,818
2015-07-01,MI,14591.51503164557,18443675,43.9746835443038,12.851827531645569,2.872626582278481,6.4017167381974245,72247.5817800633,0.6629746835443038,0.14161392405063292,12.816455696202532,16606.662183544304,52.76331220285262,26.29509493670886,1264
2015-08-01,MI,15000.831600831601,14430800,44.03326403326403,12.643970893970893,2.810810810810811,6.442660550458716,69866.03535343036,0.6735966735966736,0.1340956340956341,12.579002079002079,17315.949064449065,54.62744282744283,26.252598752598754,962
2015-09-01,MI,14831.640625,11390700,43.71875,12.57078125,2.7643229166666665,6.398860398860399,73232.72778645833,0.71484375,0.14192708333333334,12.881510416666666,16376.3515625,53.228515625,26.9296875,768
2015-10-01,MI,14490.638930163448,19504400,43.63150074294205,12.444591381872213,2.7295690936106984,6.39329517579722,70268.62183506686,0.711738484398217,0.12704309063893016,12.396731054977712,16167.921248142646,53.85341753343239,25.946508172362556,1346
2015-11-01,MI,14536.773255813954,15001950,43.95348837209303,12.330329457364341,2.75,6.360813704496788,72127.31802325581,0.7248062015503876,0.1501937984496124,12.706395348837209,15973.976744186046,52.08139534883721,26.393410852713178,1032
2015-12-01,MI,14121.285226302305,16536025,43.70623398804441,12.343757472245944,2.7549103330486764,6.335870599429115,72130.28621690863,0.7181895815542272,0.1443210930828352,12.88471391972673,15322.263877028181,52.11733561058924,26.40990606319385,1171
2016-01-01,MI,14799.380896226416,12549875,43.04716981132076,12.180341981132075,2.6544811320754715,6.545103092783505,74492.24456367924,0.6073113207547169,0.16273584905660377,13.142688679245284,17667.438679245282,51.033293978748524,26.889150943396228,848
2016-02-01,MI,14652.396569122098,14520525,42.22401614530777,12.603198789101917,2.7003027245206863,6.361915367483296,72678.54335015136,0.6417759838546923,0.1715438950554995,12.602421796165489,16446.636730575177,51.072754793138245,25.8627648839556,991
2016-03-01,MI,14581.129807692309,24263000,42.62019230769231,12.613960336538462,2.6923076923076925,6.545271629778672,70505.58152644231,0.6009615384615384,0.15925480769230768,12.677884615384615,15713.369591346154,51.08972355769231,26.295673076923077,1664
2016-04-01,MI,13952.182539682539,14063800,41.333333333333336,12.394811507936508,2.6359126984126986,6.481194690265487,71727.06412698413,0.6398809523809523,0.1597222222222222,12.323412698412698,15307.644841269841,51.22115193644488,24.9375,1008
2016-05-01,MI,13582.694575471698,11518125,41.716981132075475,12.477830188679246,2.623820754716981,6.243839169909209,68154.29805424529,0.6780660377358491,0.17452830188679244,11.995283018867925,14820.037735849057,50.90365566037736,24.35495283018868,848
2016-06-01,MI,13958.795712484238,11069325,42.295081967213115,12.63732660781841,2.5775535939470364,6.578018995929444,74557.94945775536,0.7591424968474149,0.14880201765447668,12.496847414880202,15069.165195460277,47.23800505050505,25.78562421185372,793
2016-07-01,MI,13259.52508004269,12424175,42.60832443970117,13.86034151547492,2.8196371398078974,6.273474178403756,69933.36738527214,0.7310565635005336,0.13874066168623267,11.483457844183565,13625.532550693702,49.55576923076923,23.974386339381002,937
2016-08-01,MI,13775.269978401728,12755900,41.41684665226782,13.483876889848812,2.7300215982721383,6.355216881594373,76661.31831533478,0.7084233261339092,0.1695464362850972,12.028077753779698,15114.190064794817,50.616864864864866,24.47624190064795,926
